DateTime,Unnamed: 0,Tair,Rg,NEE_F,NEE_F_QC,GPP,VPD,P,LE_F,RECO,SWC10cm,SWC20cm,SWC50cm,SWC_3,Missing,Time (s),cos day,sin day,cos year,sin year,filled_SWC_3
2020-07-06,114167.5,18.425208333333334,328.63437500000003,-4.966802708333334,0.2916666666666667,12.346025622916665,5.368916666666667,0.027083333333333334,153.5760414375,7.379224375,3.724322916666667,6.866875,3.791770833333333,2.3725,0.0,173965500.0,-6.161737786669619e-15,1.7661219708919873e-14,-0.9946770154749046,-0.10292206649968437,2.3725
2020-07-07,114215.5,17.920624999999998,325.31687500000004,-3.7971185,0.5,11.243030972916666,8.227770833333333,0.0,160.95014166666667,7.445917708333333,3.5128125000000003,6.2384375,3.54125,2.1314583333333332,0.0,174051900.0,1.1032841307212493e-14,-1.92548523421839e-14,-0.9927580091546643,-0.1200285472123045,2.1314583333333332
2020-07-08,114263.5,21.425,356.2633333333333,-1.9527777083333335,0.6458333333333334,10.398317324999999,14.1986875,0.0,166.07908791666668,8.445542083333335,3.2181770833333334,5.56625,3.2178125000000004,1.8995833333333334,0.0,174138300.0,1.3107570584480754e-14,-1.7645028956477422e-14,-0.9905448272108388,-0.1370994608759576,1.8995833333333334
2020-07-09,114311.5,21.909791666666667,331.4725,-2.4699750000000003,0.3958333333333333,11.096843875,9.8675625,0.0,177.91222354166666,8.626865624999999,3.0686415346602196,4.1899566867228035,2.8605208333333336,1.80375,0.0,174224700.0,-5.844861631724522e-15,8.968520370800093e-15,-0.9880381254570026,-0.15412974901050427,1.80375
2020-07-10,114359.5,19.744583333333335,251.42,-3.7422291666666663,0.2916666666666667,11.753084062083333,5.706833333333333,0.0,137.03562958333333,8.01085125,2.9097961317584358,2.964820035098239,2.641875,1.8114583333333334,0.0,174311100.0,-8.407626446900926e-15,2.9206960923862843e-15,-0.9852386466829844,-0.17111436517402714,1.8114583333333334
2020-07-11,114407.5,20.686041666666664,359.89375,-2.792085625,0.4791666666666667,10.723982458333333,11.951062499999999,0.0,164.74949541666666,7.931893541666667,2.406194117249518,1.2604950601684106,2.3283333333333336,1.874375,0.0,174397500.0,1.3445263421137573e-14,6.494804694057166e-15,-0.9821472204347627,-0.1880482764581978,1.874375
2020-07-12,114455.5,20.775833333333335,315.3377083333333,-3.4708737499999995,0.6458333333333334,11.088267548333334,13.3675625,0.0,165.97819375,7.617387916666666,2.5489368954406477,0.8077867268350792,3.0524437622456415,1.6475,0.0,174483900.0,1.5291009199576895e-14,-2.956026627180345e-14,-0.9787647627686528,-0.2049264649796403,1.6475
2020-07-13,114503.5,20.664583333333333,354.783125,-2.9077606874999997,1.0416666666666667,10.165184783333332,12.672062500000001,0.0,163.00606660416668,7.257426250000001,2.4304690273644254,0.4509117268350793,3.2584573100351295,1.545,0.0,174570300.0,-6.966649479522857e-15,-5.6320688853380334e-15,-0.9750922759798611,-0.22174392936683365,1.545
2020-07-14,114551.5,19.13145833333333,303.37666666666667,-5.140649583333333,0.3541666666666667,11.728218812500002,6.018479166666666,0.0,134.99909395833333,6.587571458333334,1.9852089990079531,0.2132033935017461,3.348964083929873,1.6704166666666669,0.0,174656700.0,-8.724502601846021e-15,2.5929490036583996e-14,-0.9711308483054818,-0.2384956862421297,1.6704166666666669
2020-07-15,114599.5,18.226666666666667,253.15625,-3.6190360416666665,0.2708333333333333,9.832461576666667,5.296979166666667,0.010416666666666666,105.26808333333334,6.213426875,2.005161214347734,0.021745060168412687,3.6496983627228734,1.4597916666666666,0.0,174743100.0,1.2480757168494469e-14,-5.560945222822984e-15,-0.9668816536020292,-0.25517677169843406,1.4597916666666666
2020-07-16,114647.5,17.89,117.06708333333334,-2.0021243749999997,0.5,8.039440996249999,4.508333333333334,0.0,73.10267395833334,6.037319375,1.890222005973066,-0.014713273164920543,3.50886502938954,1.5879166666666666,0.0,174829500.0,-7.757683384568281e-15,-1.428949551277962e-14,-0.9623459509975992,-0.2717822427701179,1.5879166666666666
2020-07-17,114695.5,19.289375,234.35229166666667,-4.040987145833333,0.5833333333333334,10.263628920833334,6.1898333333333335,0.0,104.55885791666667,6.222642083333334,1.8714956218004577,-0.07137993983158723,3.4084483627228734,1.569375,0.0,174915900.0,-6.164050751304255e-15,1.7638090062573515e-14,-0.9575250845187618,-0.28830717889772833,1.569375
2020-07-18,114743.5,22.11125,351.1766666666667,-1.7782929166666666,0.6458333333333334,8.46398579,13.048333333333334,0.0,150.13732627083334,6.685691041666666,1.8138895545635088,-0.32408827316492045,3.1942816960562066,1.4285416666666666,0.0,175002300.0,-1.2036667958644406e-14,1.081657911387405e-14,-0.9524204826922982,-0.30474668338605215,1.4285416666666666
2020-07-19,114791.5,24.5925,348.59125,0.4052425,0.5416666666666666,6.615169145833334,18.043666666666667,0.0,125.42869520833334,7.020412291666666,1.5479724310652052,-0.6682549398315872,3.19824002938954,1.2599375,0.0,175088700.0,1.3112196513750026e-14,-1.766295443239585e-14,-0.947033658121895,-0.3210958848551172,1.2599375
2020-07-20,114839.5,22.223333333333333,315.871875,-1.7104477708333334,0.2916666666666667,8.068849675000001,10.5739375,0.0,114.43155354166667,6.358406666666667,0.9342623915735689,-0.992629939831589,2.8734483627228733,1.2886875,0.0,175175100.0,-5.8471745963591575e-15,8.977772229338635e-15,-0.94136620703993,-0.33734993868368274,1.2886875
2020-07-21,114887.5,22.730208333333334,315.3014583333333,-1.72574625,0.10416666666666667,7.981985270833333,8.024520833333334,0.0,119.07181208333333,6.256239375,1.1004033644189204,-1.0984632731649229,2.9045033272618803,1.3254791666666665,0.0,175261500.0,-8.414565340804833e-15,2.9235872981795788e-15,-0.9354198088344726,-0.35350402844480827,1.3254791666666665
2020-07-22,114935.5,22.260833333333334,199.63333333333333,-0.53089625,0.6041666666666666,6.481331562499999,7.110229166666667,0.010416666666666666,102.41048672916666,5.950434791666667,0.9425331037386585,-1.2678382731649234,2.99386502938954,1.10325,0.0,175347900.0,-1.3345805941848235e-14,3.329339119210554e-14,-0.9291962255516445,-0.3695533673330638,1.10325
2020-07-23,114983.5,22.613958333333333,260.606875,-1.637176875,0.4583333333333333,7.315009529166667,9.162666666666667,0.0,97.69646625,5.677835833333333,0.29987079280382795,-1.3836716064982566,2.8433244888489995,1.2136458333333333,0.0,175434300.0,1.5307199952019346e-14,-2.955043617210625e-14,-0.9226973013734886,-0.3854931995829636,1.2136458333333333
2020-07-24,115031.5,20.145625,341.16833333333335,-1.9960826249999999,0.5416666666666666,6.9210701229166665,7.802145833333333,0.0,99.25701416666668,4.924990625,-0.42308967241047707,-1.6340882731649236,2.702046847571358,1.383625,0.0,175520700.0,-6.964336514888221e-15,-5.624551750275468e-15,-0.9159249620714968,-0.40131880187820274,1.383625
2020-07-25,115079.5,19.28708333333333,306.94666666666666,-1.1942825000000001,0.4791666666666667,5.6572167916666665,7.1506875,0.0,69.06858625,4.4629329166666665,-0.47019414363156836,-1.75762993983159,2.680948362722873,1.3216666666666665,0.0,175607100.0,-8.724502601846021e-15,2.5940476618598513e-14,-0.9088812144359637,-0.41702548475127593,1.3216666666666665
